Resolution,Left-Top,Right-Bottom,Active,Disconnected,Primary,Colors,Frequency,Orientation,Maximum Resolution,Current Scale,Maximum Scale,Name,Adapter,Device ID,Device Key,Monitor ID,Short Monitor ID,Monitor Key,Monitor String,Monitor Name,Monitor Serial Number
3840 X 2160,"3840, 0","7680, 2160",Yes,No,No,32,144,Default,3840 X 2160,200%,350%,\\.\DISPLAY2,NVIDIA GeForce RTX 4070 SUPER,PCI\VEN_10DE&DEV_2783&SUBSYS_896E1043&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{775AAE46-E14A-11F0-A0B4-701AB82821F6}\0001,MONITOR\GSM5BBF\{4d36e96e-e325-11ce-bfc1-08002be10318}\0003,GSM5BBF,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0003,Generic PnP Monitor,,
3840 X 2160,"7680, 0","11520, 2160",Yes,No,No,32,60,Default,3840 X 2160,200%,350%,\\.\DISPLAY3,NVIDIA GeForce RTX 4070 SUPER,PCI\VEN_10DE&DEV_2783&SUBSYS_896E1043&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{775AAE46-E14A-11F0-A0B4-701AB82821F6}\0002,MONITOR\GSM7707\{4d36e96e-e325-11ce-bfc1-08002be10318}\0005,GSM7707,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0005,Generic PnP Monitor,LG HDR 4K,
3840 X 2160,"0, 0","3840, 2160",Yes,No,Yes,32,60,Default,3840 X 2160,200%,350%,\\.\DISPLAY4,NVIDIA GeForce RTX 4070 SUPER,PCI\VEN_10DE&DEV_2783&SUBSYS_896E1043&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{775AAE46-E14A-11F0-A0B4-701AB82821F6}\0003,MONITOR\SAM71A0\{4d36e96e-e325-11ce-bfc1-08002be10318}\0006,SAM71A0,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0006,Generic PnP Monitor,LS27A70,HNMR600125
3840 X 2160,"11520, 0","15360, 2160",Yes,No,No,32,60,Default,3840 X 2160,200%,350%,\\.\DISPLAY1,NVIDIA GeForce RTX 4070 SUPER,PCI\VEN_10DE&DEV_2783&SUBSYS_896E1043&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{775AAE46-E14A-11F0-A0B4-701AB82821F6}\0000,MONITOR\SAM719F\{4d36e96e-e325-11ce-bfc1-08002be10318}\0001,SAM719F,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0001,Generic PnP Monitor,LS27A70,HNMR400156
